index,name,shape
137,contextual_residual_unet_1/conv2d_11_1/convolution/Cast:0,"[128, 128, 3, 3]"
138,contextual_residual_unet_1/conv2d_11_1/Squeeze:0,[128]
139,contextual_residual_unet_1/conv2d_10_1/convolution/Cast:0,"[128, 96, 3, 3]"
140,contextual_residual_unet_1/conv2d_10_1/Squeeze:0,[128]
141,contextual_residual_unet_1/conv2d_1/convolution/Cast:0,"[32, 7, 3, 3]"
142,contextual_residual_unet_1/conv2d_1/Squeeze:0,[32]
143,contextual_residual_unet_1/conv2d_1/Gelu/add/x:0,[]
144,contextual_residual_unet_1/context_embedding_1/Gelu/mul/x:0,[]
145,contextual_residual_unet_1/context_embedding_1/Cast/Cast:0,"[64, 128]"
146,contextual_residual_unet_1/context_embedding_1/BiasAdd/Cast:0,[128]
147,const_fold_opt__1120,[4]
148,const_fold_opt__1119,[3]
149,const_fold_opt__1115,[5]
150,const_fold_opt__1114,[1]
151,const_fold_opt__1106,[1]
152,const_fold_opt__1104,[1]
153,const_fold_opt__1103,[5]
154,const_fold_opt__1100,[1]
155,const_fold_opt__1099,[3]
156,const_fold_opt__1091,[1]
157,const_fold_opt__1079,[1]
158,const_fold_opt__1077,[1]
159,const_fold_opt__1073,[4]
160,const_fold_opt__1072,[1]
161,const_fold_opt__1070__1578,[5]
162,const_fold_opt__1065,[5]
163,const_fold_opt__1063,[5]
164,const_fold_opt__1062,[5]
165,const_fold_opt__1059,[4]
166,const_fold_opt__1054,[4]
167,const_fold_opt__1049,[3]
168,const_fold_opt__1036,[5]
169,const_fold_opt__1034,[4]
170,const_fold_opt__1021,[5]
171,const_fold_opt__1015,[4]
172,const_ends__372,[1]
173,const_axes__508,[1]
174,const_axes__1131,[2]
175,ConstantFolding/contextual_residual_unet_1/context_embedding_1/Gelu/truediv_recip:0,[]
176,Const__958,[4]
